Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,311,0.880,1788186428023779.515	,1788186428023780.395	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,312,0.760,1788186428023780.415	,1788186428023781.175	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,313,0.840,1788186428023781.195	,1788186428023782.035	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,314,0.820,1788186428023782.055	,1788186428023782.875	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,315,0.820,1788186428023804.455	,1788186428023805.275	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,316,0.820,1788186428023837.535	,1788186428023838.355	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,317,51.140,1788186428025551.555	,1788186428025602.695	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,318,8.980,1788186428025709.575	,1788186428025718.555	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,319,42.340,1788186428027537.955	,1788186428027580.295	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,320,330.240,1788186428028212.255	,1788186428028542.495	
3,clear_ops,MIX_AIC,47,321,34.760,1788186428028544.015	,1788186428028578.775	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,322,0.820,1788186428028579.775	,1788186428028580.595	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,323,0.700,1788186428028580.635	,1788186428028581.335	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,324,0.780,1788186428028581.355	,1788186428028582.135	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,325,0.760,1788186428028582.155	,1788186428028582.915	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,326,0.700,1788186428028608.095	,1788186428028608.795	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,327,0.700,1788186428028662.915	,1788186428028663.615	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,328,51.280,1788186428030292.255	,1788186428030343.535	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,329,8.720,1788186428030453.835	,1788186428030462.555	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,330,41.680,1788186428032273.535	,1788186428032315.215	
