Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,96,7.820,1788186149725218.615	,1788186149725226.435	
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,97,33.600,1788186149725227.635	,1788186149725261.235	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,98,332.020,1788186149725262.215	,1788186149725594.235	
3,clear_ops,MIX_AIC,12,99,29.020,1788186149725595.695	,1788186149725624.715	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,100,50.880,1788186149725627.855	,1788186149725678.735	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,101,7.420,1788186149725679.995	,1788186149725687.415	
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,102,34.300,1788186149725688.415	,1788186149725722.715	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,103,330.660,1788186149725723.555	,1788186149726054.215	
3,clear_ops,MIX_AIC,12,104,27.780,1788186149726055.235	,1788186149726083.015	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,105,53.380,1788186149726085.615	,1788186149726138.995	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,106,7.520,1788186149726140.195	,1788186149726147.715	
